DATE,gdp
30-Sep-20,-2.91%
31-Dec-19,2.34%
31-Dec-18,2.48%
31-Dec-17,2.70%
31-Dec-16,2.07%
31-Dec-15,2.16%
31-Dec-14,2.88%
31-Dec-13,2.61%
31-Dec-12,1.47%
31-Dec-11,1.61%
31-Dec-10,2.57%
31-Dec-09,0.18%
31-Dec-08,-2.75%
31-Dec-07,1.97%
31-Dec-06,2.59%
31-Dec-05,3.13%
31-Dec-04,3.28%
31-Dec-03,4.33%
31-Dec-02,2.09%
31-Dec-01,0.15%
31-Dec-00,2.97%
31-Dec-99,4.81%
31-Dec-98,4.88%
31-Dec-97,4.49%
31-Dec-96,4.42%
31-Dec-95,2.20%
31-Dec-94,4.12%
31-Dec-93,2.61%
31-Dec-92,4.38%
31-Dec-91,1.17%
31-Dec-90,0.60%
31-Dec-89,2.74%
31-Dec-88,3.80%
31-Dec-87,4.48%
31-Dec-86,2.91%
31-Dec-85,4.18%
31-Dec-84,5.58%
31-Dec-83,7.90%
31-Dec-82,-1.44%
31-Dec-81,1.30%
31-Dec-80,-0.04%
31-Dec-79,1.28%
31-Dec-78,6.66%
31-Dec-77,5.01%
31-Dec-76,4.31%
31-Dec-75,2.55%
31-Dec-74,-1.95%
31-Dec-73,4.02%
31-Dec-72,6.90%
31-Dec-71,4.37%
31-Dec-70,-0.17%
31-Dec-69,2.05%
31-Dec-68,4.96%
31-Dec-67,2.67%
31-Dec-66,4.50%
31-Dec-65,8.46%
31-Dec-64,5.16%
31-Dec-63,5.16%
31-Dec-62,4.31%
31-Dec-61,6.40%
31-Dec-60,0.88%
31-Dec-59,4.59%
31-Dec-58,2.66%
31-Dec-57,0.35%
31-Dec-56,2.00%
31-Dec-55,6.58%
31-Dec-54,2.73%
31-Dec-53,0.52%
31-Dec-52,5.37%
31-Dec-51,5.47%
31-Dec-50,13.37%
31-Dec-49,-1.53%
31-Dec-48,3.89%
31-Dec-47,-0.16%
31-Dec-46,-11.60%
31-Dec-45,-0.98%
31-Dec-44,7.95%
31-Dec-43,17.02%
31-Dec-42,18.88%
31-Dec-41,17.71%
31-Dec-40,8.82%
31-Dec-39,8.02%
31-Dec-38,-3.31%
31-Dec-37,5.12%
31-Dec-36,12.89%
31-Dec-35,8.90%
31-Dec-34,10.80%
31-Dec-33,-1.23%
31-Dec-32,-12.89%
31-Dec-31,-6.41%
31-Dec-30,-8.50%